Municipio;Latitud;Longitud;Horario;Operador;Gasolina95;Gasolina98;GasoleoA;GasoleoPlus;Bioetanol(%);Ester Metilico(%);Lat_f;Lon_f;dist_km_to_route
Girona;41,968028;2,811306;LOMA;CEPSA;1.968;2.811;1.519;1.589;0.0;0.028942524170917;41.968028;2.811306;2.5044379019275063
Girona;41,959167;2,801500;LOMA;;1.959;2.801;0.439;1.309;0.0;0.0123412524170917;41.959167;2.8015;2.2352345275208023
Girona;41,959056;2,801472;LLE;Q8;1.959;2.801;0.627;1.296;0.0;0.0145762524170917;41.959056;2.801472;2.2419815728090264
Girona;41,962500;2,800278;LOMA;;1.962;2.8;1.249;1.329;0.0;0.0123032524170917;41.9625;2.800278;1.9193112509166044
Girona;41,966472;2,809028;LLE;;1.966;2.809;1.239;1.319;0.0;0.0128452524170917;41.966472;2.809028;2.3670361192178624
Girona;41,954472;2,810944;L-D: 24;;1.954;2.81;0.439;1.309;0.0;0.0145812524170917;41.954472;2.810944;3.166021608354881
Girona;41,952000;2,807417;L 2;;1.952;2.807;1.359;1.409;0.0;0.025482524170917;41.952;2.807417;3.1464284526430277
Girona;41,978056;2,808500;L-D: 24;REPSOL;1.978;2.808;1.499;1.559;0.0;0.025572524170917;41.978056;2.8085;2.2875289362929103
Girona;41,994472;2,833639;LLE;;1.994;2.833;1.36;1.475;0.0;0.0102722524170917;41.994472;2.833639;4.917728130375469
Girona;41,991167;2,819028;LLE;CEPSA;1.991;2.819;1.519;1.579;0.0;0.028932524170917;41.991167;2.819028;3.694289879227808
Girona;41,989500;2,795250;L-D: 24;;1.989;2.795;1.349;1.399;0.0;0.0131102524170917;41.9895;2.79525;2.1608764573290595
Girona;42,002694;2,824194;L-D: 24;;2.002;2.824;1.239;1.319;0.0;0.0141522524170917;42.002694;2.824194;4.829012308110334
Girona;42,004139;2,824944;L;;2.004;2.824;0.58;1.248;0.0;0.0149722524170917;42.004139;2.824944;4.984934626294319
Salt;41,967333;2,787972;LT2;;1.967;2.787;0.714;1.354;0.0;0.0289025951709171;41.967333;2.787972;0.8039379769218075
Salt;41,973472;2,798528;LT2;;1.973;2.798;1.309;1.479;0.0;0.0243925951709171;41.973472;2.798528;1.3910035864481525
Salt;41,968944;2,799722;LT2;SHELL;1.968;2.799;1.11;0.899;0.0;0.0108282595170917;41.968944;2.799722;1.5509127491700543
Salt;41,970000;2,772972;LT2;BP;1.97;2.772;1.059;1.499;0.0;0.0206025951709171;41.97;2.772972;0.7906394653612814
Salt;41,975917;2,795611;LT2;REPSOL;1.975;2.795;1.529;1.589;0.0;0.0115352595170917;41.975917;2.795611;1.1971321238933041
Sant;41,990167;2,768306;L;PETRONOR;1.99;2.768;1.529;1.589;0.0;0.0181326031709174;41.990167;2.768306;2.2199604748321926
Sarri;42,006167;2,816111;L-D: 24;;2.006;2.816;0.439;1.309;0.0;0.0158752624170917;42.006167;2.816111;4.667475903337274
Ballobar;41,624333;0,194139;L-D: 24;CEPSA;1.624;0.194;0.845;1.439;0.0;0.0125233322202223;41.624333;0.194139;0.5066320650957109
Ontiñena;41,672528;0,085472;LAS;;1.672;0.085;1.27;0.9;0.0;0.0113953422220222;41.672528;0.085472;4.895781531108959
Zaidín;41,605944;0,269639;L-D: 07:00-22:00;CEPSA;1.605;0.269;0.855;1.449;0.0;0.0125134952202235;41.605944;0.269639;2.265536762803222
León;42,577972;-5,583944;LEON-5;GALP;2.577;5.583;1.339;1.389;0.0;0.055383674240824;42.577972;-5.583944;2.6850537330555118
León;42,604667;-5,579194;LEON-5;REPSOL;2.604;5.579;0.979;1.449;0.0;0.060573674240824;42.604667;-5.579194;1.2063134039546142
León;42,594222;-5,570389;LEON-5;CEPSA;2.594;5.57;1.429;1.529;0.0;0.055233674240824;42.594222;-5.570389;0.5647638058152887
León;42,631861;-5,599417;LEON-5;CEPSA;2.631;5.599;1.019;1.469;0.0;0.0145773674240824;42.631861;-5.599417;4.551352562045433
León;42,603028;-5,558028;LEON-5;REPSOL;2.603;5.558;0.979;1.439;0.0;0.0129673674240824;42.603028;-5.558028;0.8792650856251469
León;42,608250;-5,556528;LEON-5;;2.608;5.556;1.03;1.429;0.0;0.096703674240824;42.60825;-5.556528;1.3686057228977595
León;42,580361;-5,566556;LEON-5;BALLENOIL;2.58;5.566;1.309;1.329;0.0;0.0160093674240824;42.580361;-5.566556;2.0312340460065585
León;42,583833;-5,557083;LEON-5;BALLENOIL;2.583;5.557;1.309;1.329;0.0;0.0147583674240824;42.583833;-5.557083;1.8325965561196964
León;42,585611;-5,559389;LEON-5;REPSOL;2.585;5.559;1.439;1.549;0.0;0.055413674240824;42.585611;-5.559389;1.5740689274895412
León;42,585917;-5,555667;LEON-5;CARREFOUR;2.585;5.555;1.419;1.459;0.0;0.0128263674240824;42.585917;-5.555667;1.688331741635663
León;42,584417;-5,557667;LEON-5;;2.584;5.557;1.309;1.369;0.0;0.0144403674240824;42.584417;-5.557667;1.753290453731314
León;42,585861;-5,584028;LEON-5;;2.585;5.584;1.319;1.359;0.0;0.0144673674240824;42.585861;-5.584028;1.99215648693195
León;42,585083;-5,590250;LEON-5;SHELL;2.585;5.59;1.359;1.439;0.0;0.080483674240824;42.585083;-5.59025;2.4300561067459414
León;42,590833;-5,577389;LEON-5;REPSOL;2.59;5.577;1.429;1.529;0.0;0.049743674240824;42.590833;-5.577389;1.2168803765590397
León;42,587833;-5,601111;LEON-5;BALLENOIL;2.587;5.601;1.309;1.329;0.0;0.087773674240824;42.587833;-5.601111;3.0428915490635196
León;42,574361;-5,582861;LEON-5;BALLENOIL;2.574;5.582;1.309;1.329;0.0;0.0149773674240824;42.574361;-5.582861;2.9960525078888725
León;42,614222;-5,597917;LEON-5;;2.614;5.597;1.349;1.399;0.0;0.0120053674240824;42.614222;-5.597917;3.070792698502575
León;42,572556;-5,583278;León1;REPSOL;2.572;5.583;1.439;1.519;0.0;0.060393674240824;42.572556;-5.583278;3.1921514811749367
León;42,570917;-5,582444;León1;REPSOL;2.57;5.582;1.439;1.519;0.0;0.0604036742408241;42.570917;-5.582444;3.3319438622027184
León;42,582222;-5,573972;LEON-5;;2.582;5.573;0.749;1.349;0.0;0.0497736742408241;42.582222;-5.573972;1.9124281619754386
León;42,580806;-5,578083;LEON-5;;2.58;5.578;1.41;0.015;0.0;0.0154723674240824;42.580806;-5.578083;2.180974315096473
León;42,590722;-5,616000;LEON-5;BP;2.59;5.616;1.439;1.539;0.0;0.0602236742408241;42.590722;-5.616;4.110004744033566
León;42,617306;-5,602306;LEON-5;PETRONOR;2.617;5.602;1.429;1.539;0.0;0.0553036742408242;42.617306;-5.602306;3.5617395199709088
San;42,607694;-5,604056;L;;2.607;5.604;1.349;1.399;0.0;0.0106073721240824;42.607694;-5.604056;3.1998381492666144
San;42,590167;-5,618333;L;;2.59;5.618;1.319;1.359;0.0;0.047323721240824;42.590167;-5.618333;4.309819171794761
San;42,591222;-5,615167;L;;2.591;5.615;0.639;1.449;0.0;0.0125073721240824;42.591222;-5.615167;4.031686200796265
San;42,590472;-5,615583;L;BP;2.59;5.615;1.439;1.539;0.0;0.0602137212408243;42.590472;-5.615583;4.082757508838114
Valdefresno;42,570944;-5,520528;L-D: 06:15-22:15;REPSOL;2.57;5.52;1.429;1.509;0.0;0.0599937542408242;42.570944;-5.520528;2.6153879699404556
Valdefresno;42,569722;-5,519194;L 625;REPSOL;2.569;5.519;1.429;1.509;0.0;0.0600037542408249;42.569722;-5.519194;2.777228154364865
Valdepolo;42,560028;-5,282639;LDEA;PETRONOR;2.56;5.282;1.469;1.239;0.0;0.0506737592408242;42.560028;-5.282639;1.2929160380008213
Villaquilambre;42,633222;-5,559667;LLE;GALP;2.633;5.559;1.364;1.414;0.0;0.055353795240824;42.633222;-5.559667;3.8928144344761932
Villaquilambre;42,602222;-5,550278;LAS;;2.602;5.55;0.639;1.449;0.0;0.0147103795240824;42.602222;-5.550278;1.4221324922400504
Villaquilambre;42,618361;-5,552278;LAS;BALLENOIL;2.618;5.552;1.309;1.329;0.0;0.0149743795240824;42.618361;-5.552278;2.5015412932523025
Villaquilambre;42,622167;-5,549667;LAS;REPSOL;2.622;5.549;1.519;1.429;0.0;0.0605537952408241;42.622167;-5.549667;2.97539532594206
Villaquilambre;42,626417;-5,548000;LE-311;REPSOL;2.626;5.548;1.429;1.539;0.0;0.0554737952408241;42.626417;-5.548;3.457569062877409
Villaquilambre;42,622389;-5,563778;LA;SHELL;2.622;5.563;1.369;1.449;0.0;0.0806837952408241;42.622389;-5.563778;2.6550614159543535
Villaquilambre;42,636833;-5,589778;LTO;;2.636;5.589;1.339;1.419;0.0;0.0495037952408242;42.636833;-5.589778;4.64087510615051
Villaturiel;42,547667;-5,462361;LLE;REPSOL;2.547;5.462;1.429;1.509;0.0;0.0110133800240824;42.547667;-5.462361;4.015752840239922
Villaturiel;42,553861;-5,549611;LLO;;2.553;5.549;0.69;1.289;0.0;0.0142243800240825;42.553861;-5.549611;4.708336874594225
Albat;41,576111;0,610333;L-700;PETRONOR;1.576;0.61;1.439;1.099;0.0;0.0251438112509251;41.576111;0.610333;4.681872900156832
Alcarr;41,579472;0,559333;L-800;SHELL;1.579;0.559;1.309;1.409;0.0;0.0844038152509251;41.579472;0.559333;4.378853148325977
Alcarr;41,577667;0,516889;L-D: 06:00-22:00;;1.577;0.516;1.24;1.309;0.0;0.0105103815250925;41.577667;0.516889;4.814877775901389
Alcoletge;41,652058;0,692455;L-D: 06:00-22:00;;1.652;0.692;0.703;0.01;0.0;0.0102023816250925;41.652058;0.692455;2.5791067498459226
Alpicat;41,645917;0,566444;LLE;REPSOL;1.645;0.566;1.469;1.579;0.0;0.0123513826250925;41.645917;0.566444;3.0349636717571165
Alpicat;41,662833;0,557750;L-V: 09:00-14:00;;1.662;0.557;0.439;1.309;0.0;0.0149273826250925;41.662833;0.55775;4.914897131622764
Anglesola;41,656861;1,079000;LA1;;1.656;1.079;1.239;0.884;0.0;0.0201838282509251;41.656861;1.079;3.9809278600240656
Bell;41,628667;0,774750;LL-;REPSOL;1.628;0.774;1.475;1.555;0.0;0.0245038452509252;41.628667;0.77475;2.2068416705407805
Bellpuig;41,644444;1,000306;L-D: 06:00-22:00;;1.644;1.0;0.685;1.254;0.0;0.0117053847250925;41.644444;1.000306;4.142917716809172
Bellvís;41,670278;0,814167;LVIS0;SHELL;1.67;0.814;1.025;1.478;0.0;0.0228038492509251;41.670278;0.814167;2.856626776881179
Bellvís;41,666889;0,816972;LVIS0;;1.666;0.816;0.905;0.098;0.0;0.0987638492509251;41.666889;0.816972;2.44054198558509
Fondarella;41,639444;0,877528;LLA0;CEPSA;1.639;0.877;1.469;1.535;0.0;0.0109463886250925;41.639444;0.877528;2.4801701222088055
Fondarella;41,638722;0,874250;LLA0;REPSOL;1.638;0.874;1.479;1.539;0.0;0.0283438862509253;41.638722;0.87425;2.635066147121777
Fuliola (La);41,722222;1,001167;LA;;1.722;1.001;1.245;1.265;0.0;0.0111513888250925;41.722222;1.001167;4.573059976044849
Gimenells;41,654056;0,389194;LLS0;;1.654;0.389;1.269;0.911;0.0;0.0942538912509251;41.654056;0.389194;3.569079914262878
Gimenells;41,652611;0,393000;LLS0;REPSOL;1.652;0.393;0.845;1.465;0.0;0.0250038912509252;41.652611;0.393;3.4876057842543986
Golmés;41,628333;0,908972;LMES0;;1.628;0.908;1.26;1.32;0.0;0.0176738922509252;41.628333;0.908972;4.163286621002871
Golmés;41,630528;0,914083;LMES0;;1.63;0.914;0.419;1.24;0.0;0.0115503892250925;41.630528;0.914083;4.184097609442717
Golmés;41,629694;0,906000;LMES0;;1.629;0.906;1.275;1.375;0.0;0.0907738922509252;41.629694;0.906;3.9138991520762536
Ivars;41,679861;0,985389;LL0;;1.679;0.985;0.494;1.269;0.0;0.0202039052509251;41.679861;0.985389;1.1371250173114775
Lleida;41,630778;0,626750;LDE;CEPSA;1.63;0.626;1.551;1.641;0.0;0.029493916250925;41.630778;0.62675;1.569794209729289
Lleida;41,625444;0,628889;L-D: 05:00-23:00;REPSOL;1.625;0.628;1.469;1.529;0.0;0.023363916250925;41.625444;0.628889;1.1432955408049346
Lleida;41,643889;0,613500;LLE;CEPSA;1.643;0.613;1.539;1.649;0.0;0.0294739162509251;41.643889;0.6135;2.9741172993060574
Lleida;41,605806;0,612250;LIX, 41;CEPSA;1.605;0.612;1.33;1.44;0.0;0.024873916250925;41.605806;0.61225;1.4605757049018775
Lleida;41,599417;0,633139;LL-11;CEPSA;1.599;0.633;0.753;1.574;0.0;0.023533916250925;41.599417;0.633139;2.29645784852545
Lleida;41,611222;0,643667;LLE;REPSOL;1.611;0.643;1.469;1.529;0.0;0.024583916250925;41.611222;0.643667;2.089910395685603
Lleida;41,613611;0,655417;L-D: 06:00-22:00;REPSOL;1.613;0.655;1.469;1.529;0.0;0.0118233916250925;41.613611;0.655417;1.4434571851636728
Lleida;41,610750;0,662972;LONA;REPSOL;1.61;0.662;1.479;1.529;0.0;0.022223916250925;41.61075;0.662972;1.5696558187939225
Lleida;41,609306;0,636222;LONA;BALLENOIL;1.609;0.636;1.239;1.24;0.0;0.022843916250925;41.609306;0.636222;1.6321385609843386
Lleida;41,609056;0,637083;LLE;BALLENOIL;1.609;0.637;1.239;1.24;0.0;0.022833916250925;41.609056;0.637083;1.707009598044438
Lleida;41,602444;0,632167;L EL;;1.602;0.632;0.439;1.309;0.0;0.0124903916250925;41.602444;0.632167;1.9638955375531553
Lleida;41,618944;0,652278;L C,;CEPSA;1.618;0.652;1.483;1.113;0.0;0.0176839162509251;41.618944;0.652278;1.1833921819738769
Lleida;41,609778;0,676639;L-V: 07:00-21:00;;1.609;0.676;1.425;1.521;0.0;0.0150163916250925;41.609778;0.676639;1.9713241207071146
Lleida;41,651778;0,551778;L EL;;1.651;0.551;1.469;1.579;0.0;0.0242939162509251;41.651778;0.551778;3.777091590169513
Lleida;41,615583;0,649500;L EL;;1.615;0.649;0.419;1.24;0.0;0.0156839162509251;41.615583;0.6495;1.5932661443201286
Lleida;41,617583;0,653639;L II;;1.617;0.653;1.459;0.015;0.0;0.0155583916250925;41.617583;0.653639;1.1881249098543558
Lleida;41,613806;0,649917;LOW;;1.613;0.649;1.239;1.388;0.0;0.0127573916250925;41.613806;0.649917;1.703300072950248
Lleida;41,611278;0,680389;L-D: 08:00-22:00;;1.611;0.68;1.519;1.28;0.0;0.0155383916250925;41.611278;0.680389;2.0250156465339537
Lleida;41,628889;0,664333;L-V: 10:00-13:30;;1.628;0.664;1.41;0.015;0.0;0.0155903916250925;41.628889;0.664333;0.4505804690414258
Lleida;41,626361;0,660722;L;REPSOL;1.626;0.66;1.03;0.012;0.0;0.0125903916250925;41.626361;0.660722;0.32996896901823547
Lleida;41,624333;0,661667;LL-11;;1.624;0.661;1.369;0.011;0.0;0.0116663916250925;41.624333;0.661667;0.21237206996857066
Lleida;41,614750;0,652472;L-D: 07:00-22:00;REPSOL;1.614;0.652;1.559;1.469;0.0;0.0952139162509251;41.61475;0.652472;1.482530577263281
Lleida;41,631944;0,592611;LES)0;CEPSA;1.631;0.592;1.551;1.659;0.0;0.0294839162509251;41.631944;0.592611;1.5336396779052845
Lleida;41,645306;0,566139;LES)0;GALP;1.645;0.566;1.294;1.344;0.0;0.0118813916250925;41.645306;0.566139;2.964764161134855
Lleida;41,599222;0,597861;L;;1.599;0.597;0.729;1.299;0.0;0.0810339162509251;41.599222;0.597861;2.1466697971555724
Lleida;41,607889;0,616111;L-D: 07:00-22:00;REPSOL;1.607;0.616;1.05;1.489;0.0;0.0108663916250925;41.607889;0.616111;1.1263403318110248
Mollerussa;41,621556;0,890389;L-D: 24;;1.621;0.89;1.239;1.295;0.0;0.0294439262509252;41.621556;0.890389;4.421540922146093
Mollerussa;41,627528;0,886944;L-D: 24;;1.627;0.886;1.349;1.389;0.0;0.0176939262509252;41.627528;0.886944;3.7368560266966795
Mollerussa;41,629694;0,887806;L-D: 07:00-21:00;REPSOL;1.629;0.887;1.469;1.489;0.0;0.0225639262509257;41.629694;0.887806;3.500853396082271
Palau;41,647752;0,883483;LAU;;1.647;0.883;0.68;1.271;0.0;0.0928139472509252;41.647752;0.883483;1.4869626209575915
Sant;41,726694;1,371611;L-7042;;1.726;1.371;1.415;0.98;0.0;0.0813239802509251;41.726694;1.371611;1.5798103287110001
