Municipio,Latitud,Longitud,Horario,Operador,Gasolina95,Gasolina98,GasoleoA,GasoleoPlus,Bioetanol(%),Ester Metilico(%)
Bonete,"38,875861","-1,331500",L-D: 06:00-22:00,REPSOL,8.875,1.331,1.465,1.555,0.0,0.0526869020702691
Bonete,"38,876111","-1,331611",LLE,REPSOL,8.876,1.331,1.465,1.555,0.0,0.052696902070261
Bonillo (El),"38,953361","-2,535056",LLO,REPSOL,8.953,2.535,1.429,1.075,0.0,0.0528270020702151
Casas,"39,100792","-1,560857",L,,9.1,1.56,1.469,0.95,0.0,0.0439072020702212
Casas,"39,255139","-1,332194",L-D: 07:00-21:00,,9.255,1.332,0.946,0.015,0.0,0.015626740207022
Casas,"39,283944","-1,477806",L,,9.283,1.477,1.479,1.179,0.0,0.05204750207022
Casas,"39,291389","-1,474111",LA,,9.291,1.474,1.05,0.01,0.0,0.0109537502070266
Caudete,"38,727472","-0,943000",L,BP,8.727,0.943,1.499,1.599,0.0,0.051427602070266
Caudete,"38,708944","-0,982111",L-D: 06:00-23:00,GALP,8.708,0.982,1.459,1.549,0.0,0.053237602070266
Caudete,"38,756417","-0,955833",L-D: 24,REPSOL,8.756,0.955,1.465,1.035,0.0,0.048207602070266
Caudete,"38,711694","-0,971639",LA Y,,8.711,0.971,1.399,1.039,0.0,0.0142037602070266
Caudete,"38,710750","-0,973861",LLE,,8.71,0.973,1.129,0.015,0.0,0.0150477602070224
Cenizate,"39,301000","-1,664167",LAS,,9.301,1.664,1.31,0.905,0.0,0.0120747702070252
Chinchilla,"38,915972","-1,726278",LLA,REPSOL,8.915,1.726,1.459,1.519,0.0,0.052307802070252
Chinchilla,"38,938611","-1,757611",LLA,REPSOL,8.938,1.757,1.449,1.549,0.0,0.051717802070252
Chinchilla,"38,937583","-1,758000",LLA,REPSOL,8.937,1.758,1.539,0.929,0.0,0.051707802070251
Chinchilla,"38,803389","-1,731861",L-V: 06:00-22:00;,REPSOL,8.803,1.731,1.569,1.479,0.0,0.0519678020702695
Chinchilla,"38,898306","-1,502806",LLAR,CEPSA,8.898,1.502,1.199,1.489,0.0,0.048007802070243
Elche,"38,460694","-2,017917",LCHE,,8.46,2.017,1.379,1.44,0.0,0.0153948102070243
Elche,"38,451306","-2,044778",LCHE,,8.451,2.044,1.529,1.439,0.0,0.0525581020702651
Fuente,"38,689833","-1,433306",LAMO-1,,8.689,1.433,1.499,1.099,0.0,0.0442284020702651
Fuente,"38,695348","-1,431579",LAMO-1,,8.695,1.431,1.26,0.86,0.0,0.0106218402070226
Fuentealbilla,"39,269972","-1,548639",LLA-1,,9.269,1.548,1.379,0.999,0.0,0.044038502070211
Gineta (La),"39,107667","-1,990194",LA)-1,REPSOL,9.107,1.99,1.449,1.509,0.0,0.052378602070211
Gineta (La),"39,086278","-1,963944",LA)-1,REPSOL,9.086,1.963,1.569,1.479,0.0,0.0484186020702253
Golosalvo,"39,238111","-1,635111",LVO-1,,9.238,1.635,0.959,1.427,0.0,0.04789870207024
Hellín,"38,517306","-1,700417",LLIN-1,PLENERGY,8.517,1.7,1.339,1.379,0.0,0.014611880207024
Hellín,"38,417306","-1,571667",LLIN-1,CEPSA,8.417,1.571,1.478,1.549,0.0,0.05312880207024
Hellín,"38,495972","-1,636389",LLIN-1,,8.495,1.636,1.029,1.499,0.0,0.011181880207024
Hellín,"38,464250","-1,596722",LLIN-1,,8.464,1.596,1.199,1.479,0.0,0.010575880207024
Hellín,"38,511222","-1,696972",LLIN-1,BP,8.511,1.696,1.469,1.569,0.0,0.04423880207024
Hellín,"38,532389","-1,694889",LLIN-1,,8.532,1.694,1.339,1.389,0.0,0.013229880207024
Hellín,"38,545111","-1,705389",LLIN-1,,8.545,1.705,1.032,1.511,0.0,0.011142880207024
Hellín,"38,506806","-1,687833",LLIN-1,PETRONOR,8.506,1.687,1.519,1.429,0.0,0.04831880207024
Hellín,"38,524444","-1,703056",LLIN-1,REPSOL,8.524,1.703,1.549,1.459,0.0,0.05135880207024
Hellín,"38,502889","-1,714556",LLIN-1,REPSOL,8.502,1.714,1.519,1.429,0.0,0.04806880207024
Hellín,"38,502528","-1,677694",LLIN-1,,8.502,1.677,1.349,1.409,0.0,0.0141488802070242
Hellín,"38,491861","-1,741111",LEZ,REPSOL,8.491,1.741,1.519,1.429,0.0,0.0516388020702694
Higueruela,"38,960944","-1,444083",LA-1,,8.96,1.444,1.329,0.907,0.0,0.0889590020702696
Hoya,"38,921833","-1,583389",LO-1,REPSOL,8.921,1.583,1.469,1.559,0.0,0.0485291020702434
Letur,"38,356556","-2,111056",L-D: 24,,8.356,2.111,1.447,1.105,0.0,0.043939302070223
Madrigueras,"39,232528","-1,794139",L-S: 07:00-15:00,,9.232,1.794,1.29,0.88,0.0,0.092529602070223
Madrigueras,"39,226611","-1,800611",L-D: 06:00-22:00,Q8,9.226,1.8,1.389,1.469,0.0,0.0109839602070223
Madrigueras,"39,233056","-1,799472",L-D: 24,REPSOL,9.233,1.799,1.519,1.429,0.0,0.052329602070224
Mahora,"39,209972","-1,729333",L-D: 06:00-22:00,,9.209,1.729,1.34,0.88,0.0,0.092509702070262
Minaya,"39,276056","-2,330333",L-D: 24,REPSOL,9.276,2.33,1.199,1.459,0.0,0.052779902070262
Minaya,"39,273583","-2,325056",LA,,9.273,2.325,1.29,0.92,0.0,0.092199902070265
Montealegre,"38,785917","-1,330250",L,,8.785,1.33,1.469,1.539,0.0,0.0520210202070265
Montealegre,"38,789694","-1,328750",L,,8.789,1.328,1.279,0.899,0.0,0.0105261020207022
Motilleja,"39,179070","-1,788246",LEJA-1,,9.179,1.788,0.91,0.01,0.0,0.0100151030207026
Munera,"39,043806","-2,485028",LLE,,9.043,2.485,0.899,1.379,0.0,0.0521310402070261
Munera,"39,046139","-2,480694",LA,,9.046,2.48,1.459,1.0,0.0,0.0122311040207022
Navas,"39,281778","-1,719778",L-D: 07:00-21:00,,9.281,1.719,1.272,0.865,0.0,0.0998210502070253
Nerpio,"38,151167","-2,293444",LLIN,,8.151,2.293,1.429,1.135,0.0,0.0526510602070265
Ontur,"38,609556","-1,508333",LBA,,8.609,1.508,1.28,0.888,0.0,0.0113401070207026
Ontur,"38,622944","-1,497667",L,REPSOL,8.622,1.497,1.519,1.429,0.0,0.0106191070207026
Ossa,"38,967167","-2,751500",L-2,REPSOL,8.967,2.751,1.429,1.489,0.0,0.0527010802070212
Peñas,"38,724028","-1,990278",LERO 24,,8.724,1.99,1.399,1.499,0.0,0.0144171100207026
Pétrola,"38,828806","-1,553694",LA-1,,8.828,1.553,1.439,1.499,0.0,0.0479111202070209
Pozo,"38,805278","-1,736389",LLE,,8.805,1.736,1.469,0.011,0.0,0.011977114020702
Pozo,"38,813389","-1,735917",L-D: 07:00-21:00,,8.813,1.735,1.25,0.015,0.0,0.0152901140207021
Pozohondo,"38,717556","-1,910750",LLE,REPSOL,8.717,1.91,1.559,1.339,0.0,0.0523811502070214
Pozohondo,"38,641750","-1,844139","L, 2",,8.641,1.844,1.429,1.404,0.0,0.0158401150207021
Pozo,"39,081278","-1,512611",L-D: 07:00-22:00,,9.081,1.512,1.339,0.889,0.0,0.0123341160207023
Pozuelo,"38,804722","-2,098778",LO-2,,8.804,2.098,1.479,1.459,0.0,0.0441011702070245
Riópar,"38,493528","-2,411444",L 320,CEPSA,8.493,2.411,1.519,1.629,0.0,0.0479311902070234
Robledo,"38,771194","-2,450028",LEDO-2,,8.771,2.45,1.399,1.399,0.0,0.0437012002070263
Roda (La),"39,143972","-2,051250",LA)-2,GALP,9.143,2.051,1.499,1.589,0.0,0.0531712102070263
Roda (La),"39,225000","-2,186083",LA)-2,GALP,9.225,2.186,1.499,1.589,0.0,0.0531612102070263
Roda (La),"39,200944","-2,144639",LA)-2,REPSOL,9.2,2.144,1.479,1.569,0.0,0.0114271210207026
Roda (La),"39,212361","-2,171028",LA)-2,BP,9.212,2.171,1.469,1.569,0.0,0.0489112102070263
Roda (La),"39,191250","-2,143056",LA)-2,,9.191,2.143,1.179,1.129,0.0,0.0148111210207026
Roda (La),"39,201139","-2,147750",LA)-2,,9.201,2.147,0.55,1.265,0.0,0.0895812102070263
Roda (La),"39,218389","-2,158028",LA)-2,,9.218,2.158,0.6,1.299,0.0,0.0134801210207026
Roda (La),"39,213667","-2,176194",LA)-2,,9.213,2.176,1.25,0.094,0.0,0.0941412102070263
Roda (La),"39,201667","-2,149000",LA)-2,REPSOL,9.201,2.149,1.569,1.479,0.0,0.0489412102070263
Roda (La),"39,213722","-2,156667",LA)-2,REPSOL,9.213,2.156,1.559,1.469,0.0,0.0516212102070243
Socovos,"38,331361","-1,981861",L,,8.331,1.981,1.459,1.109,0.0,0.043921240207021
Tarazona,"39,259750","-1,911389",LA,REPSOL,9.259,1.911,1.429,1.499,0.0,0.052841250207021
Tarazona,"39,270556","-1,908778",LA,,9.27,1.908,1.26,0.86,0.0,0.0114021250207021
Tarazona,"39,256194","-1,912194",LA,LA GAVIOTA GASOLINERA,9.256,1.912,1.299,1.375,0.0,0.0129531250207025
Tobarra,"38,602278","-1,680917","L, 114",REPSOL,8.602,1.68,1.2,1.489,0.0,0.052191260207025
Tobarra,"38,594639","-1,685417","L, 162",,8.594,1.685,1.409,1.459,0.0,0.0113991260207025
Tobarra,"38,601722","-1,680833",LA,,8.601,1.68,1.329,1.389,0.0,0.0137781260207025
Tobarra,"38,603306","-1,694083",LLE,,8.603,1.694,1.32,1.02,0.0,0.0127861260207021
Valdeganga,"39,137222","-1,680944",L-D: 07:30-21:30,,9.137,1.68,1.376,0.954,0.0,0.0890012702070263
Villalgordo,"39,302389","-2,067639",L,,9.302,2.067,1.389,1.459,0.0,0.0489513002070263
Villalgordo,"39,293500","-2,059556",L,,9.293,2.059,0.965,0.012,0.0,0.0127021300207022
Villamalea,"39,366861","-1,592778",LEA-1,REPSOL,9.366,1.592,1.429,1.085,0.0,0.0525813102070227
Villamalea,"39,367333","-1,593250",LEA-1,,9.367,1.593,1.286,0.913,0.0,0.0100531310207022
Villamalea,"39,350250","-1,613194",LEA-1,,9.35,1.613,0.511,1.285,0.0,0.0156051310207023
Villapalacios,"38,581722","-2,626222",L: 24,REPSOL,8.581,2.626,1.499,1.149,0.0,0.0489313202070235
Villapalacios,"38,575556","-2,630167",LLE,,8.575,2.63,1.306,0.94,0.0,0.0161531320207026
Villarrobledo,"39,278222","-2,602028",LEDO-2,REPSOL,9.278,2.602,1.459,1.169,0.0,0.053051330207026
Villarrobledo,"39,283917","-2,583361",LEDO-2,,9.283,2.583,0.699,1.339,0.0,0.0151921330207026
Villarrobledo,"39,277056","-2,591722",LEDO-2,BP,9.277,2.591,0.99,1.459,0.0,0.0119761330207026
Villarrobledo,"39,285722","-2,579639",LEDO-2,CARREFOUR,9.285,2.579,1.319,1.359,0.0,0.044421330207026
Villarrobledo,"39,205194","-2,708528",LEDO-2,,9.205,2.708,1.489,1.594,0.0,0.0121461330207026
Villarrobledo,"39,258778","-2,586778",LEDO-2,REPSOL,9.258,2.586,1.559,1.489,0.0,0.0117971330207026
Villarrobledo,"39,198000","-2,713722",LEDO-2,,9.198,2.713,0.899,1.489,0.0,0.051841330207026
Villarrobledo,"39,272250","-2,617083",LEDO-2,,9.272,2.617,0.799,1.459,0.0,0.043681330207026
Villarrobledo,"39,261472","-2,599417",LEDO-2,CEPSA,9.261,2.599,1.459,1.531,0.0,0.047851330207026
Villarrobledo,"39,257528","-2,613778",LEDO-2,REPSOL,9.257,2.613,1.519,1.429,0.0,0.051231330207026
Villarrobledo,"39,266417","-2,596944",LEDO-2,PLENERGY,9.266,2.596,1.199,1.329,0.0,0.0148041330207026
Villarrobledo,"39,250806","-2,601028",LEDO-2,,9.25,2.601,0.39,1.264,0.0,0.0145391330207026
Villarrobledo,"39,293722","-2,567139",LEDO-2,REPSOL,9.293,2.567,1.529,1.439,0.0,0.051671330207026
Villarrobledo,"39,282167","-2,583778",LEDO-2,,9.282,2.583,1.319,1.099,0.0,0.0152641330207026
Villarrobledo,"39,268472","-2,587083",LEDO-2,,9.268,2.587,1.139,0.015,0.0,0.0155241330207026
Villarrobledo,"39,276917","-2,591111",LEDO-2,PLENERGY,9.276,2.591,1.199,1.329,0.0,0.0120151330207026
Villarrobledo,"39,278333","-2,590194",LEDO-2,,9.278,2.59,1.2,1.479,0.0,0.0156201330207024
Yeste,"38,368667","-2,314667",L-D: 24,CEPSA,8.368,2.314,1.469,1.589,0.0,0.0479613802070369
Agost,"38,408861","-0,599444",L-D: 06:00-22:00,GALP,8.408,0.599,1.454,1.544,0.0,0.0113051400310036
Agost,"38,434417","-0,637250",L-D: 24,PETRONOR,8.434,0.637,0.85,1.459,0.0,0.0368314003100369
Agost,"38,406528","-0,599972",LDA,GALP,8.406,0.599,1.454,1.544,0.0,0.0113061400310036
Agost,"38,429417","-0,662250",L-D: 24,CEPSA,8.429,0.662,1.459,1.269,0.0,0.0947814003100334
Albatera,"38,199417","-0,848722",L-V: 06:00-22:00,REPSOL,8.199,0.848,1.469,1.539,0.0,0.0358914303100334
Albatera,"38,165222","-0,894750",L-D: 06:00-22:00,REPSOL,8.165,0.894,0.78,1.469,0.0,0.0358814303100334
Albatera,"38,199389","-0,848833",LLE,,8.199,0.848,0.8,1.429,0.0,0.0356514303100334
Albatera,"38,168111","-0,889167",LEOS,,8.168,0.889,1.419,1.489,0.0,0.0141911430310033
Albatera,"38,175028","-0,854056",LAZA,REPSOL,8.175,0.854,1.569,1.229,0.0,0.0369214303100372
Alcalalí,"38,751972","-0,042083",LALI-0,REPSOL,8.751,0.042,1.469,1.589,0.0,0.0148521440310038
Alcoy,"38,688639","-0,479611",LCOI-0,SHELL,8.688,0.479,1.369,1.449,0.0,0.092981470310038
Alcoy,"38,689278","-0,480306",LCOI-0,BALLENOIL,8.689,0.48,1.269,1.279,0.0,0.0160891470310038
Alcoy,"38,683806","-0,471194",LCOI-0,PLENERGY,8.683,0.471,1.269,1.359,0.0,0.0157001470310038
Alcoy,"38,689083","-0,479694",LCOI-0,,8.689,0.479,1.0,0.959,0.0,0.0133701470310038
Alcoy,"38,683389","-0,471306",LCOI-0,GALP,8.683,0.471,0.699,1.329,0.0,0.037281470310038
Alcoy,"38,691972","-0,489722",LCOI-0,PETRONOR,8.691,0.489,0.85,1.459,0.0,0.035861470310038
Alcoy,"38,695083","-0,477972",LCOI-0,,8.695,0.477,1.269,1.359,0.0,0.037131470310038
Alcoy,"38,708750","-0,472556",LCOI-0,REPSOL,8.708,0.472,0.989,1.429,0.0,0.0114281470310038
Alcoy,"38,714361","-0,462528",LCOI-0,REPSOL,8.714,0.462,1.429,1.529,0.0,0.034751470310038
Alcoy,"38,711556","-0,466250",LCOI-0,,8.711,0.466,1.279,1.379,0.0,0.0142001470310035
Alf,"38,581361","-0,105389",LFAS,REPSOL,8.581,0.105,1.449,1.559,0.0,0.0362314903100358
Alf,"38,571139","-0,096500",LFAS,BP,8.571,0.096,1.449,1.549,0.0,0.0148511490310035
Alf,"38,582250","-0,106167",LFAS,PLENERGY,8.582,0.106,1.319,1.429,0.0,0.0150991490310035
Alf,"38,580639","-0,104972",LFAS,,8.58,0.104,0.5,1.339,0.0,0.0157781490310035
Alf,"38,574028","-0,076694",LFAS,PLENERGY,8.574,0.076,1.319,1.429,0.0,0.0150061490310035
Alf,"38,567722","-0,082972",LFAS,GALP,8.567,0.082,1.359,1.409,0.0,0.0373314903100316
Algorfa,"38,058389","-0,746611",L,BP,8.058,0.746,1.419,1.519,0.0,0.0119291500310036
Algueña,"38,339222","-0,998222",L-D: 24,CEPSA,8.339,0.998,1.379,1.149,0.0,0.0341615103100301
Alicante,"38,359278","-0,466972",L,BP,8.359,0.466,1.429,1.529,0.0,0.010940152031003
Alicante,"38,359667","-0,467361",L,BP,8.359,0.467,1.429,1.529,0.0,0.010941152031003
Alicante,"38,357000","-0,476750",LLE,REPSOL,8.357,0.476,1.419,1.549,0.0,0.03673152031003
Alicante,"38,364194","-0,499917",LOW,,8.364,0.499,1.317,1.394,0.0,0.015630152031003
Alicante,"38,376194","-0,508861","LDA, 179",REPSOL,8.376,0.508,1.525,0.979,0.0,0.03690152031003
Alicante,"38,370222","-0,497500",LLE,REPSOL,8.37,0.497,1.425,1.505,0.0,0.03550152031003
Alicante,"38,375333","-0,499444",L-D: 24,REPSOL,8.375,0.499,1.435,1.505,0.0,0.012283152031003
Alicante,"38,374139","-0,506833",LLE,SHELL,8.374,0.506,0.919,1.429,0.0,0.08379152031003
Alicante,"38,377722","-0,504722","LDA, 74",,8.377,0.504,1.275,1.375,0.0,0.012649152031003
Alicante,"38,364222","-0,494333",L-S: 06:30-22:30;,PLENERGY,8.364,0.494,1.297,1.404,0.0,0.010245152031003
Alicante,"38,358556","-0,483944","LA, 56",REPSOL,8.358,0.483,1.449,1.509,0.0,0.0359315203100301
Alicante,"38,370694","-0,466806",LA,ALCAMPO,8.37,0.466,1.279,1.389,0.0,0.0132831520310035
Alicante,"38,363639","-0,434556",L-D: 07:00-23:00,,8.363,0.434,1.41,1.52,0.0,0.0341715203100301
Alicante,"38,375472","-0,453806",L,BP,8.375,0.453,1.429,1.529,0.0,0.0360315203100301
Alicante,"38,369111","-0,444778",L,,8.369,0.444,0.898,1.438,0.0,0.013851152031003
Alicante,"38,370000","-0,446667",L-D: 24,GALP,8.37,0.446,1.429,1.519,0.0,0.0830015203100301
Alicante,"38,355389","-0,472306",LLE,,8.355,0.472,0.899,0.979,0.0,0.0358015203100301
Alicante,"38,369889","-0,464083",L-D: 24,PLENERGY,8.369,0.464,1.297,1.405,0.0,0.015170152031003
Alicante,"38,371389","-0,457694",L-D: 06:00-22:00,PLENERGY,8.371,0.457,1.297,1.405,0.0,0.0156961520310031
Alicante,"38,401000","-0,477750",LLE,REPSOL,8.401,0.477,1.419,1.509,0.0,0.0347015203100311
Alicante,"38,383583","-0,489750",LOW,,8.383,0.489,1.317,1.394,0.0,0.013568152031003
Alicante,"38,370083","-0,486611","LDA, 216",BP,8.37,0.486,1.429,1.529,0.0,0.010710152031003
Alicante,"38,376944","-0,499722","LDA, 204",,8.376,0.499,1.297,1.404,0.0,0.013585152031003
Alicante,"38,375972","-0,498972",L-D: 06:30-22:30,,8.375,0.498,1.297,1.497,0.0,0.0135721520310035
Alicante,"38,385639","-0,449972",L-D: 06:30-22:30,,8.385,0.449,1.489,1.579,0.0,0.0137591520310035
Alicante,"38,386250","-0,447417",L-D: 06:30-21:00,REPSOL,8.386,0.447,1.439,1.529,0.0,0.03680152031003
Alicante,"38,344944","-0,523167",L-V: 06:00-22:00;,PETRONOR,8.344,0.523,1.439,1.499,0.0,0.03684152031003
Alicante,"38,344611","-0,522944",L-V: 06:00-22:00;,REPSOL,8.344,0.522,0.979,1.439,0.0,0.011474152031003
Alicante,"38,344000","-0,524194",LA,,8.344,0.524,0.9,1.432,0.0,0.011716152031003
Alicante,"38,348250","-0,555389","LA,",,8.348,0.555,0.884,1.438,0.0,0.09191152031003
Alicante,"38,345583","-0,517889",L-V: 05:00-21:00,SHELL,8.345,0.517,0.919,1.449,0.0,0.09119152031003
Alicante,"38,343611","-0,545111",LLE,CEPSA,8.343,0.545,1.469,1.239,0.0,0.03406152031003
Alicante,"38,345056","-0,522278",L-D: 06:00-22:00,BALLENOIL,8.345,0.522,1.297,1.404,0.0,0.013593152031003
Alicante,"38,330583","-0,513500",LCHE,GALP,8.33,0.513,1.429,1.519,0.0,0.03729152031003
Alicante,"38,337778","-0,500389",LLE,,8.337,0.5,1.478,1.554,0.0,0.03412152031003
Alicante,"38,336083","-0,517389",LLE,,8.336,0.517,1.41,0.015,0.0,0.015473152031003
Alicante,"38,335694","-0,512833",L-D: 24,,8.335,0.512,0.899,1.379,0.0,7.0373115203100305
Alicante,"38,303611","-0,521389",LDE,,8.303,0.521,1.297,1.397,0.0,0.013584152031003
Alicante,"38,338611","-0,516000",L-D: 24,,8.338,0.516,1.499,1.589,0.0,0.09302152031003
Alicante,"38,344917","-0,518333",LLE,,8.344,0.518,0.898,1.438,0.0,0.012485152031003
Alicante,"38,340028","-0,517750","L A,",CARREFOUR,8.34,0.517,1.429,1.469,0.0,0.0129611520310031
Alicante,"38,344139","-0,538472",L)-0,,8.344,0.538,1.48,1.244,0.0,0.0344615203100311
