punto_ev_id,nombre_punto,operador,latitud,longitud,carretera,direccion,tipo_conector,potencia_kw,precio_kwh,disponible_24h
E0042,Zunder Punto 041,Zunder,40.4076,-3.86173,A-2,Área A-2 km 181,CCS2,127.0,0.455,si
E0043,Zunder Punto 042,Zunder,40.67839,-3.63795,AP-7,Área AP-7 km 460,CCS2,108.1,0.402,no
E0044,Wenea Punto 043,Wenea,40.24005,-3.58645,AP-7,Área AP-7 km 517,CCS2,77.8,0.49,no
E0045,Wenea Punto 044,Wenea,40.18099,-3.71384,A-1,Área A-1 km 246,Type2,28.1,0.389,no
E0046,Wenea Punto 045,Wenea,40.26474,-3.69888,A-3,Área A-3 km 356,CCS2,48.2,0.439,si
E0047,Zunder Punto 046,Zunder,40.46246,-3.69299,AP-2,Área AP-2 km 145,CHAdeMO,91.6,0.517,si
E0048,Wenea Punto 047,Wenea,40.17956,-3.48241,AP-2,Área AP-2 km 396,Type2,108.9,0.386,si
E0049,Tesla Punto 048,Tesla,40.45196,-3.66325,A-5,Área A-5 km 191,CCS2,40.5,0.411,no
E0050,Iberdrola Punto 049,Iberdrola,40.25802,-3.72255,A-1,Área A-1 km 439,Type2,45.3,0.371,si
E0051,Iberdrola Punto 050,Iberdrola,40.61614,-3.57528,AP-2,Área AP-2 km 166,Type2,108.7,0.453,si
E0052,Ionnity Punto 051,Ionnity,40.65744,-3.77245,AP-7,Área AP-7 km 12,CCS2,127.4,0.324,si
E0053,Endesa Punto 052,Endesa,40.48275,-3.62517,AP-2,Área AP-2 km 237,Type2,86.1,0.335,si
E0054,Ionnity Punto 053,Ionnity,40.48571,-3.59851,AP-7,Área AP-7 km 599,CCS2,48.5,0.428,no
E0055,Ionnity Punto 054,Ionnity,40.3111,-3.73074,A-1,Área A-1 km 13,Type2,82.9,0.469,si
E0056,Ionnity Punto 055,Ionnity,40.39917,-3.57937,A-3,Área A-3 km 365,Type2,23.1,0.331,si
E0057,Tesla Punto 056,Tesla,40.37407,-3.67413,A-3,Área A-3 km 270,CCS2,118.6,0.5,si
E0058,Iberdrola Punto 057,Iberdrola,40.40209,-3.50076,AP-7,Área AP-7 km 379,Type2,41.5,0.384,si
E0059,Iberdrola Punto 058,Iberdrola,40.53734,-3.44568,A-2,Área A-2 km 46,CCS2,19.7,0.444,no
E0060,Wenea Punto 059,Wenea,40.14216,-3.56456,AP-2,Área AP-2 km 59,CCS2,53.6,0.356,no
E0061,Endesa Punto 060,Endesa,40.4661,-3.64951,AP-7,Área AP-7 km 253,Type2,127.8,0.399,si
E0062,Wenea Punto 061,Wenea,40.58399,-3.64629,AP-2,Área AP-2 km 307,CCS2,89.0,0.537,si
E0063,Ionnity Punto 062,Ionnity,40.57824,-3.83065,A-2,Área A-2 km 583,CCS2,88.3,0.418,si
E0064,Zunder Punto 063,Zunder,40.10585,-3.87141,A-5,Área A-5 km 26,CCS2,63.3,0.536,si
E0065,Zunder Punto 064,Zunder,40.35574,-3.74645,AP-7,Área AP-7 km 151,CCS2,82.4,0.457,si
E0066,Tesla Punto 065,Tesla,40.41775,-3.31415,A-5,Área A-5 km 310,CHAdeMO,132.3,0.425,si
E0067,Tesla Punto 066,Tesla,40.29988,-3.63925,AP-7,Área AP-7 km 521,CCS2,40.9,0.46,si
E0068,Ionnity Punto 067,Ionnity,40.48489,-3.7501,A-3,Área A-3 km 191,Type2,7.0,0.4,no
E0069,Zunder Punto 068,Zunder,40.55108,-3.81172,AP-2,Área AP-2 km 303,CHAdeMO,14.9,0.25,no
E0070,Ionnity Punto 069,Ionnity,40.33286,-3.63404,A-1,Área A-1 km 424,CCS2,63.1,0.426,si
E0071,Tesla Punto 070,Tesla,40.51705,-3.80706,AP-7,Área AP-7 km 575,Type2,110.9,0.518,no
E0072,Wenea Punto 071,Wenea,40.3881,-3.49323,A-5,Área A-5 km 238,CCS2,133.2,0.428,si
E0073,Ionnity Punto 072,Ionnity,40.27563,-3.77108,A-1,Área A-1 km 119,CCS2,93.1,0.326,si
E0074,Endesa Punto 073,Endesa,40.05766,-3.82178,A-2,Área A-2 km 149,Type2,42.0,0.435,si
E0075,Tesla Punto 074,Tesla,40.44731,-3.85508,A-3,Área A-3 km 559,CCS2,103.3,0.46,no
E0076,Ionnity Punto 075,Ionnity,40.72206,-3.71686,AP-2,Área AP-2 km 546,CCS2,44.9,0.358,si
E0077,Ionnity Punto 076,Ionnity,40.28348,-3.7144,AP-7,Área AP-7 km 237,CCS2,88.4,0.423,si
E0078,Endesa Punto 077,Endesa,40.39285,-3.80174,A-3,Área A-3 km 271,CCS2,82.5,0.333,si
E0079,Endesa Punto 078,Endesa,40.44528,-3.92202,A-3,Área A-3 km 590,CHAdeMO,128.4,0.495,no
E0080,Tesla Punto 079,Tesla,40.24335,-3.74787,AP-2,Área AP-2 km 520,CCS2,103.6,0.54,si
E0081,Ionnity Punto 080,Ionnity,40.65847,-3.88716,AP-7,Área AP-7 km 582,CCS2,85.0,0.529,si
E0082,Tesla Punto 081,Tesla,40.22464,-3.76734,A-5,Área A-5 km 296,CHAdeMO,107.5,0.434,si
E0083,Iberdrola Punto 082,Iberdrola,40.60797,-3.79794,A-3,Área A-3 km 269,CCS2,49.5,0.452,si
E0084,Tesla Punto 083,Tesla,40.49751,-3.85895,A-5,Área A-5 km 406,Type2,18.1,0.447,no
E0085,Zunder Punto 084,Zunder,40.45305,-3.7959,A-3,Área A-3 km 269,CCS2,133.0,0.394,si
E0086,Iberdrola Punto 085,Iberdrola,40.48747,-3.78382,A-3,Área A-3 km 537,Type2,129.5,0.358,si
E0087,Tesla Punto 086,Tesla,40.35601,-3.99433,A-5,Área A-5 km 332,CCS2,62.6,0.403,si
E0088,Ionnity Punto 087,Ionnity,40.49548,-3.92796,AP-2,Área AP-2 km 485,CCS2,157.1,0.43,si
E0089,Iberdrola Punto 088,Iberdrola,40.1572,-3.67914,AP-7,Área AP-7 km 209,CCS2,59.4,0.531,si
E0090,Iberdrola Punto 089,Iberdrola,40.50489,-3.65589,A-2,Área A-2 km 274,CCS2,82.1,0.493,no
E0091,Ionnity Punto 090,Ionnity,40.28144,-3.75515,A-3,Área A-3 km 338,CHAdeMO,71.7,0.318,si
E0092,Endesa Punto 091,Endesa,40.03209,-3.58607,AP-7,Área AP-7 km 393,CCS2,46.4,0.341,si
E0093,Zunder Punto 092,Zunder,40.47457,-3.64077,A-5,Área A-5 km 382,CCS2,90.5,0.41,no
E0094,Zunder Punto 093,Zunder,40.3386,-3.76911,AP-2,Área AP-2 km 115,Type2,106.6,0.51,no
E0095,Tesla Punto 094,Tesla,40.37994,-3.56099,AP-7,Área AP-7 km 179,CCS2,7.0,0.37,si
E0096,Iberdrola Punto 095,Iberdrola,40.27953,-3.73397,A-3,Área A-3 km 190,CCS2,65.2,0.358,si
E0097,Ionnity Punto 096,Ionnity,40.28021,-3.62002,A-3,Área A-3 km 95,CCS2,66.1,0.459,no
E0098,Iberdrola Punto 097,Iberdrola,40.41499,-3.7354,A-2,Área A-2 km 296,Type2,12.5,0.461,no
E0099,Wenea Punto 098,Wenea,40.586,-4.04591,A-2,Área A-2 km 203,CCS2,15.1,0.365,no
E0100,Endesa Punto 099,Endesa,40.24578,-3.87173,A-5,Área A-5 km 428,CCS2,77.3,0.453,no
E0101,Iberdrola Punto 100,Iberdrola,40.53347,-3.58275,A-1,Área A-1 km 287,CCS2,10.2,0.285,si
E0102,Endesa Punto 101,Endesa,40.13782,-3.68894,A-2,Área A-2 km 512,Type2,146.9,0.451,no
E0103,Endesa Punto 102,Endesa,40.37191,-3.85606,A-2,Área A-2 km 52,Type2,157.0,0.527,si
E0104,Zunder Punto 103,Zunder,40.51274,-3.63742,A-2,Área A-2 km 133,CCS2,100.4,0.464,si
E0105,Tesla Punto 104,Tesla,40.42934,-3.78723,AP-2,Área AP-2 km 184,CCS2,23.8,0.521,no
E0106,Tesla Punto 105,Tesla,40.61939,-3.70199,A-3,Área A-3 km 90,CCS2,31.3,0.444,no
E0107,Endesa Punto 106,Endesa,40.40484,-3.43417,A-1,Área A-1 km 345,Type2,110.8,0.421,si
E0108,Ionnity Punto 107,Ionnity,40.25444,-3.72646,A-3,Área A-3 km 35,Type2,25.0,0.451,no
E0109,Endesa Punto 108,Endesa,40.56616,-3.54492,A-1,Área A-1 km 373,CCS2,116.0,0.422,si
E0110,Wenea Punto 109,Wenea,40.47369,-3.5107,A-3,Área A-3 km 342,CCS2,69.7,0.345,si
E0111,Ionnity Punto 110,Ionnity,40.33012,-3.66587,A-1,Área A-1 km 464,CCS2,54.8,0.382,si
E0112,Ionnity Punto 111,Ionnity,40.45778,-3.87471,A-2,Área A-2 km 111,CCS2,132.5,0.35,no
E0113,Wenea Punto 112,Wenea,40.42144,-3.72144,A-5,Área A-5 km 322,CCS2,123.6,0.26,si
E0114,Tesla Punto 113,Tesla,40.35983,-3.81673,A-5,Área A-5 km 479,Type2,61.9,0.506,si
E0115,Endesa Punto 114,Endesa,40.42214,-3.44075,A-5,Área A-5 km 377,Type2,71.3,0.428,si
E0116,Endesa Punto 115,Endesa,40.31071,-3.55845,AP-7,Área AP-7 km 561,CCS2,55.4,0.475,si
E0117,Tesla Punto 116,Tesla,40.46729,-3.64006,A-1,Área A-1 km 437,CCS2,7.0,0.46,no
E0118,Endesa Punto 117,Endesa,40.4294,-3.80783,AP-2,Área AP-2 km 125,CCS2,21.3,0.396,si
E0119,Iberdrola Punto 118,Iberdrola,40.26562,-3.59516,A-1,Área A-1 km 530,CCS2,77.5,0.306,si
E0120,Iberdrola Punto 119,Iberdrola,40.40129,-3.708,A-3,Área A-3 km 541,CHAdeMO,112.9,0.353,si
E0121,Zunder Punto 120,Zunder,40.60354,-3.7685,A-1,Área A-1 km 447,CCS2,7.0,0.318,si
E0122,Wenea Punto 121,Wenea,40.42259,-3.75056,A-1,Área A-1 km 511,CCS2,48.0,0.368,si
E0123,Ionnity Punto 122,Ionnity,40.43218,-3.72592,AP-2,Área AP-2 km 248,Type2,138.5,0.383,si
E0124,Iberdrola Punto 123,Iberdrola,40.42729,-3.86524,AP-7,Área AP-7 km 111,CCS2,90.9,0.453,no
E0125,Iberdrola Punto 124,Iberdrola,40.63225,-3.62439,A-5,Área A-5 km 181,CHAdeMO,129.5,0.307,no
E0126,Iberdrola Punto 125,Iberdrola,40.33108,-3.72872,A-2,Área A-2 km 296,CCS2,68.2,0.445,si
E0127,Zunder Punto 126,Zunder,40.48405,-3.529,A-1,Área A-1 km 226,CCS2,140.9,0.439,si
E0128,Wenea Punto 127,Wenea,40.55784,-3.5739,A-1,Área A-1 km 550,CCS2,110.5,0.449,si
E0129,Wenea Punto 128,Wenea,40.46718,-4.14339,AP-7,Área AP-7 km 225,CCS2,90.3,0.25,no
E0130,Zunder Punto 129,Zunder,40.24244,-3.81062,A-5,Área A-5 km 208,Type2,55.6,0.555,no
E0131,Tesla Punto 130,Tesla,40.43645,-3.85415,A-2,Área A-2 km 333,CCS2,70.6,0.418,si
E0132,Ionnity Punto 131,Ionnity,40.55545,-3.69861,AP-2,Área AP-2 km 95,CHAdeMO,70.8,0.433,si
E0133,Zunder Punto 132,Zunder,40.5825,-3.76565,A-3,Área A-3 km 370,CCS2,18.3,0.447,si
E0134,Ionnity Punto 133,Ionnity,40.52714,-3.64764,AP-7,Área AP-7 km 28,Type2,18.8,0.44,no
E0135,Zunder Punto 134,Zunder,40.34438,-3.57322,AP-7,Área AP-7 km 442,CCS2,134.2,0.528,si
E0136,Tesla Punto 135,Tesla,40.53182,-3.68562,A-3,Área A-3 km 544,CCS2,108.0,0.416,si
E0137,Zunder Punto 136,Zunder,40.41725,-3.65277,AP-2,Área AP-2 km 441,CCS2,101.8,0.398,si
E0138,Wenea Punto 137,Wenea,40.63315,-3.77891,A-5,Área A-5 km 517,CCS2,33.2,0.359,si
E0139,Tesla Punto 138,Tesla,40.50976,-3.65282,A-1,Área A-1 km 576,Type2,87.6,0.445,no
E0140,Wenea Punto 139,Wenea,40.08977,-3.69839,A-2,Área A-2 km 377,CCS2,116.8,0.491,si
E0141,Wenea Punto 140,Wenea,40.33761,-3.70401,A-1,Área A-1 km 109,Type2,114.4,0.387,si
E0142,Ionnity Punto 141,Ionnity,40.56288,-3.59902,AP-2,Área AP-2 km 381,CHAdeMO,44.5,0.368,no
E0143,Endesa Punto 142,Endesa,40.48243,-3.89006,A-5,Área A-5 km 67,CCS2,66.8,0.427,si
E0144,Zunder Punto 143,Zunder,40.43928,-3.64212,A-2,Área A-2 km 158,CCS2,92.8,0.411,no
E0145,Endesa Punto 144,Endesa,40.32014,-3.71284,A-5,Área A-5 km 84,CCS2,32.1,0.447,no
E0146,Ionnity Punto 145,Ionnity,40.24961,-3.73819,AP-2,Área AP-2 km 599,CCS2,38.5,0.434,si
E0147,Ionnity Punto 146,Ionnity,40.6321,-3.66724,A-5,Área A-5 km 153,Type2,69.0,0.446,si
E0148,Endesa Punto 147,Endesa,40.20708,-3.93534,AP-7,Área AP-7 km 109,CCS2,63.9,0.384,si
E0149,Tesla Punto 148,Tesla,40.31839,-3.51986,AP-7,Área AP-7 km 75,CCS2,138.2,0.45,si
E0150,Ionnity Punto 149,Ionnity,40.50891,-3.61405,AP-2,Área AP-2 km 404,Type2,31.1,0.462,no
E0151,Ionnity Punto 150,Ionnity,40.54283,-3.48069,AP-2,Área AP-2 km 137,CCS2,64.1,0.351,no
E0152,Ionnity Punto 151,Ionnity,40.58685,-3.75799,A-2,Área A-2 km 322,CCS2,35.5,0.447,si
E0153,Ionnity Punto 152,Ionnity,40.38917,-3.74432,A-3,Área A-3 km 20,Type2,145.9,0.414,no
E0154,Iberdrola Punto 153,Iberdrola,40.37734,-3.80668,A-1,Área A-1 km 60,CCS2,68.4,0.497,no
E0155,Endesa Punto 154,Endesa,40.41737,-3.44598,AP-7,Área AP-7 km 377,Type2,7.0,0.3,si
E0156,Endesa Punto 155,Endesa,40.48776,-3.76144,A-1,Área A-1 km 109,CHAdeMO,116.2,0.431,si
E0157,Ionnity Punto 156,Ionnity,40.52147,-3.68721,AP-7,Área AP-7 km 573,CCS2,75.1,0.508,si
E0158,Ionnity Punto 157,Ionnity,40.36231,-3.74199,A-2,Área A-2 km 442,Type2,35.6,0.368,no
E0159,Zunder Punto 158,Zunder,40.36226,-3.87618,A-1,Área A-1 km 176,Type2,7.0,0.413,no
E0160,Zunder Punto 159,Zunder,40.3025,-3.68151,A-3,Área A-3 km 166,CCS2,91.7,0.341,si
E0161,Ionnity Punto 160,Ionnity,40.4152,-3.91026,A-1,Área A-1 km 468,Type2,62.4,0.442,si
E0162,Endesa Punto 161,Endesa,40.56793,-3.7423,AP-2,Área AP-2 km 40,CCS2,152.4,0.538,si
E0163,Iberdrola Punto 162,Iberdrola,40.25806,-3.90218,A-2,Área A-2 km 51,Type2,55.6,0.445,si
E0164,Iberdrola Punto 163,Iberdrola,40.30995,-3.83573,AP-7,Área AP-7 km 217,CCS2,86.9,0.473,no
E0165,Iberdrola Punto 164,Iberdrola,40.01904,-3.9105,A-5,Área A-5 km 247,Type2,7.0,0.285,no
E0166,Iberdrola Punto 165,Iberdrola,40.61038,-3.64215,A-1,Área A-1 km 598,CCS2,39.0,0.451,no
E0167,Iberdrola Punto 166,Iberdrola,40.50173,-3.78623,AP-7,Área AP-7 km 320,CHAdeMO,30.1,0.349,si
E0168,Zunder Punto 167,Zunder,40.46585,-3.82268,AP-2,Área AP-2 km 81,CCS2,97.8,0.457,no
E0169,Iberdrola Punto 168,Iberdrola,40.66934,-3.78345,AP-7,Área AP-7 km 230,CHAdeMO,116.8,0.424,si
E0170,Ionnity Punto 169,Ionnity,40.18289,-3.55871,A-5,Área A-5 km 342,CCS2,43.1,0.438,si
E0171,Ionnity Punto 170,Ionnity,40.41102,-3.44285,AP-2,Área AP-2 km 581,CCS2,55.7,0.48,si
E0172,Zunder Punto 171,Zunder,40.40937,-3.72112,AP-7,Área AP-7 km 496,Type2,101.5,0.459,si
E0173,Wenea Punto 172,Wenea,40.36056,-3.64784,A-5,Área A-5 km 371,Type2,50.1,0.421,si
E0174,Iberdrola Punto 173,Iberdrola,40.3841,-3.52476,A-1,Área A-1 km 512,CCS2,7.0,0.468,no
E0175,Ionnity Punto 174,Ionnity,40.41331,-3.40327,A-2,Área A-2 km 404,Type2,108.0,0.43,si
E0176,Iberdrola Punto 175,Iberdrola,40.45545,-3.57698,A-1,Área A-1 km 578,CCS2,48.5,0.351,no
E0177,Wenea Punto 176,Wenea,40.03487,-3.61166,AP-2,Área AP-2 km 384,Type2,105.2,0.405,si
E0178,Ionnity Punto 177,Ionnity,40.0001,-3.75593,A-1,Área A-1 km 75,CCS2,107.2,0.379,si
E0179,Tesla Punto 178,Tesla,40.38636,-3.64739,A-5,Área A-5 km 349,Type2,15.6,0.491,si
E0180,Iberdrola Punto 179,Iberdrola,40.18237,-3.66948,AP-7,Área AP-7 km 279,CCS2,86.7,0.325,si
E0181,Zunder Punto 180,Zunder,40.25559,-3.57232,AP-2,Área AP-2 km 251,CCS2,85.8,0.445,si
E0182,Ionnity Punto 181,Ionnity,40.82341,-3.73587,AP-2,Área AP-2 km 260,CCS2,92.1,0.446,no
E0183,Zunder Punto 182,Zunder,40.46583,-3.81364,A-5,Área A-5 km 236,CHAdeMO,111.6,0.413,no
E0184,Iberdrola Punto 183,Iberdrola,40.46969,-3.41686,A-5,Área A-5 km 97,CCS2,60.0,0.39,si
E0185,Tesla Punto 184,Tesla,40.55425,-3.96378,AP-2,Área AP-2 km 310,CHAdeMO,109.5,0.397,si
E0186,Endesa Punto 185,Endesa,40.60365,-3.55986,AP-7,Área AP-7 km 498,CHAdeMO,108.2,0.444,si
E0187,Ionnity Punto 186,Ionnity,40.50021,-3.67721,A-3,Área A-3 km 265,CCS2,86.6,0.508,si
E0188,Tesla Punto 187,Tesla,40.3921,-3.96661,A-2,Área A-2 km 237,Type2,125.0,0.355,si
E0189,Endesa Punto 188,Endesa,40.63841,-3.78518,A-5,Área A-5 km 173,CCS2,93.5,0.308,si
E0190,Ionnity Punto 189,Ionnity,40.50313,-3.91527,A-1,Área A-1 km 145,CCS2,62.0,0.408,si
E0191,Iberdrola Punto 190,Iberdrola,40.45519,-3.60604,AP-7,Área AP-7 km 306,Type2,74.6,0.451,no
E0192,Tesla Punto 191,Tesla,40.60594,-3.49861,A-1,Área A-1 km 58,CHAdeMO,164.2,0.48,si
E0193,Endesa Punto 192,Endesa,40.38539,-3.64522,A-3,Área A-3 km 108,CCS2,131.0,0.431,si
E0194,Tesla Punto 193,Tesla,40.515,-3.59198,A-3,Área A-3 km 562,CCS2,37.8,0.368,si
E0195,Iberdrola Punto 194,Iberdrola,40.3508,-4.14714,AP-7,Área AP-7 km 553,CCS2,25.1,0.487,si
E0196,Zunder Punto 195,Zunder,40.63261,-3.7254,AP-7,Área AP-7 km 35,Type2,168.0,0.511,si
E0197,Tesla Punto 196,Tesla,40.49328,-3.71958,A-1,Área A-1 km 276,Type2,59.2,0.508,si
E0198,Wenea Punto 197,Wenea,40.6846,-3.6502,A-3,Área A-3 km 404,CCS2,46.0,0.369,no
E0199,Zunder Punto 198,Zunder,40.22384,-3.90784,AP-7,Área AP-7 km 213,CCS2,17.9,0.314,si
E0200,Iberdrola Punto 199,Iberdrola,40.07774,-3.73241,A-3,Área A-3 km 167,CCS2,158.8,0.333,si
E0201,Zunder Punto 200,Zunder,40.5013,-3.68661,A-2,Área A-2 km 502,CCS2,88.2,0.467,si
E0202,Endesa Punto 201,Endesa,40.46606,-3.67699,A-2,Área A-2 km 188,Type2,74.1,0.383,si
E0203,Zunder Punto 202,Zunder,40.46522,-3.87631,AP-2,Área AP-2 km 266,CCS2,103.5,0.349,si
E0204,Tesla Punto 203,Tesla,40.46634,-3.73556,AP-2,Área AP-2 km 238,CCS2,7.0,0.417,si
E0205,Zunder Punto 204,Zunder,40.49902,-3.56946,A-1,Área A-1 km 325,CHAdeMO,7.0,0.319,si
E0206,Tesla Punto 205,Tesla,40.36952,-3.99398,AP-7,Área AP-7 km 599,CHAdeMO,7.0,0.406,no
E0207,Zunder Punto 206,Zunder,40.59658,-3.72936,AP-2,Área AP-2 km 297,CCS2,7.0,0.457,si
E0208,Zunder Punto 207,Zunder,40.24208,-3.40249,A-3,Área A-3 km 138,CHAdeMO,105.0,0.319,no
E0209,Iberdrola Punto 208,Iberdrola,40.54279,-3.66826,A-5,Área A-5 km 379,CCS2,70.8,0.502,si
E0210,Ionnity Punto 209,Ionnity,40.49948,-3.64447,A-2,Área A-2 km 121,CCS2,46.0,0.385,no
E0211,Iberdrola Punto 210,Iberdrola,40.30751,-3.58807,A-3,Área A-3 km 553,CCS2,107.4,0.411,si
E0212,Ionnity Punto 211,Ionnity,40.24478,-3.84483,A-5,Área A-5 km 169,CCS2,28.5,0.43,si
E0213,Tesla Punto 212,Tesla,40.38381,-3.65257,A-2,Área A-2 km 505,CCS2,74.5,0.333,si
E0214,Endesa Punto 213,Endesa,40.08467,-3.65194,A-2,Área A-2 km 128,CCS2,68.9,0.453,si
E0215,Zunder Punto 214,Zunder,40.06515,-3.56239,A-3,Área A-3 km 263,Type2,35.6,0.393,si
E0216,Zunder Punto 215,Zunder,40.30736,-3.6471,A-1,Área A-1 km 250,CCS2,87.8,0.434,no
E0217,Iberdrola Punto 216,Iberdrola,40.5867,-3.51412,A-3,Área A-3 km 245,CCS2,18.1,0.401,no
E0218,Zunder Punto 217,Zunder,40.38415,-3.76137,AP-7,Área AP-7 km 163,CCS2,64.9,0.417,no
E0219,Wenea Punto 218,Wenea,40.85394,-3.97035,AP-2,Área AP-2 km 55,Type2,88.0,0.374,no
E0220,Iberdrola Punto 219,Iberdrola,40.59313,-3.67494,AP-7,Área AP-7 km 511,CCS2,7.0,0.515,no
E0221,Wenea Punto 220,Wenea,40.29218,-3.68191,A-2,Área A-2 km 99,Type2,74.3,0.437,si
E0222,Ionnity Punto 221,Ionnity,40.41804,-3.73437,A-5,Área A-5 km 448,CCS2,95.1,0.275,si
E0223,Endesa Punto 222,Endesa,40.39892,-3.52837,AP-7,Área AP-7 km 576,CCS2,67.9,0.378,no
E0224,Ionnity Punto 223,Ionnity,40.35896,-3.73927,A-3,Área A-3 km 117,Type2,90.5,0.314,no
E0225,Iberdrola Punto 224,Iberdrola,40.25178,-3.7192,A-5,Área A-5 km 137,CCS2,146.9,0.491,no
E0226,Iberdrola Punto 225,Iberdrola,40.45909,-3.8086,AP-7,Área AP-7 km 232,CCS2,11.1,0.428,no
E0227,Endesa Punto 226,Endesa,40.56508,-3.64912,AP-2,Área AP-2 km 275,Type2,46.0,0.403,si
E0228,Endesa Punto 227,Endesa,40.60106,-3.79973,AP-2,Área AP-2 km 212,CCS2,53.5,0.435,no
