vehicle_id,datetime,location_province,liters,kwh,price_per_l,price_per_kwh,cost_eur,km_since_last,odo_km
B00332,2016-03-05,Valencia,196.17,,,,,538,114815
T00288,2016-03-05,Zaragoza,156.68,,,,,468,192228
T00275,2016-03-05,Valencia,571.5,,,,,2229,295139
T00176,2016-03-06,Zaragoza,854.57,,,,,3173,303726
T00190,2016-03-06,Barcelona,907.94,,,,,3288,195813
B00411,2016-03-06,Valencia,31.69,,,,,113,109692
T00273,2016-03-06,Barcelona,100.2,,,,,322,119331
T00202,2016-03-07,A Coruña,760.26,,,,,2177,267372
B00316,2016-03-07,A Coruña,,221.47,,,,131,227346
T00184,2016-03-08,Barcelona,377.66,,,,,1110,197857
T00270,2016-03-08,Barcelona,372.25,,,,,1460,139619
T00112,2016-03-08,Sevilla,166.89,,,,,430,231896
T00143,2016-03-09,Sevilla,285.68,,,,,1084,135214
T00044,2016-03-09,Sevilla,399.65,,,,,1135,125669
B00389,2016-03-09,Madrid,273.78,,,,,910,247562
B00302,2016-03-09,Madrid,,129.12,,,,90,191517
T00023,2016-03-09,Valencia,918.91,,,,,2955,257438
B00411,2016-03-09,Zaragoza,98.73,,,,,355,100803
B00350,2016-03-09,Barcelona,142.35,,,,,402,270980
B00331,2016-03-09,Barcelona,195.33,,,,,388,226092
T00262,2016-03-10,Zaragoza,152.95,,,,,641,214879
B00312,2016-03-10,Zaragoza,,76.59,,,,47,216195
B00336,2016-03-10,Madrid,264.48,,,,,625,132231
T00064,2016-03-10,Zaragoza,158.11,,,,,567,124373
T00152,2016-03-11,Zaragoza,853.06,,,,,2043,210008
T00178,2016-03-11,Madrid,501.48,,,,,1419,233535
T00142,2016-03-11,Barcelona,553.59,,,,,1446,211659
T00224,2016-03-12,Valencia,869.38,,,,,2754,275129
T00199,2016-03-12,Barcelona,767.36,,,,,3370,261542
T00062,2016-03-12,Valencia,327.1,,,,,1512,230999
T00200,2016-03-13,Valencia,913.38,,,,,3542,273995
T00037,2016-03-13,Sevilla,225.04,,,,,907,193962
T00022,2016-03-13,Madrid,172.0,,,,,478,127862
T00263,2016-03-14,Madrid,204.28,,,,,760,160345
B00345,2016-03-14,Zaragoza,61.06,,,,,147,231145
T00273,2016-03-16,Madrid,178.12,,,,,572,107866
T00031,2016-03-16,Zaragoza,638.54,,,,,2204,173358
B00324,2016-03-16,Sevilla,,83.32,,,,51,156950
T00142,2016-03-16,Zaragoza,428.35,,,,,1119,191563
B00358,2016-03-17,Valencia,238.37,,,,,615,140015
T00060,2016-03-17,Barcelona,444.75,,,,,1201,144283
T00016,2016-03-17,Madrid,64.25,,,,,184,305032
T00080,2016-03-18,Madrid,140.6,,,,,481,311343
T00091,2016-03-18,Valencia,269.68,,,,,873,150182
T00282,2016-03-19,A Coruña,362.82,,,,,1184,138359
T00278,2016-03-19,Madrid,344.83,,,,,909,260563
T00221,2016-03-19,Valencia,164.08,,,,,556,158992
T00182,2016-03-19,Barcelona,383.42,,,,,1279,266348
B00399,2016-03-20,Madrid,27.74,,,,,93,204479
T00299,2016-03-21,Valencia,366.58,,,,,1508,228161
T00070,2016-03-21,Valencia,718.94,,,,,2122,222669
B00313,2016-03-21,Sevilla,,164.44,,,,102,193266
T00092,2016-03-21,Barcelona,542.97,,,,,2269,232191
T00167,2016-03-21,Madrid,860.4,,,,,4085,188937
T00229,2016-03-22,Valencia,408.78,,,,,1580,242893
B00406,2016-03-22,Zaragoza,309.62,,,,,589,116102
T00072,2016-03-22,Valencia,530.5,,,,,1435,206889
T00047,2016-03-22,Zaragoza,318.06,,,,,1099,213014
T00266,2016-03-22,Valencia,696.27,,,,,2778,178352
T00025,2016-03-22,Sevilla,352.53,,,,,1412,243371
B00306,2016-03-22,Madrid,,258.42,,,,130,238126
B00400,2016-03-23,Zaragoza,98.48,,,,,241,134061
T00252,2016-03-23,Madrid,358.29,,,,,1261,150083
T00020,2016-03-24,A Coruña,537.31,,,,,1681,171107
T00282,2016-03-24,Barcelona,142.84,,,,,466,154219
T00084,2016-03-24,Barcelona,140.82,,,,,329,230915
B00324,2016-03-25,Barcelona,,211.55,,,,131,156493
T00195,2016-03-25,Sevilla,122.94,,,,,431,175133
T00119,2016-03-25,A Coruña,472.79,,,,,1271,274633
T00044,2016-03-25,Madrid,79.01,,,,,224,124534
T00293,2016-03-26,Madrid,669.19,,,,,1663,244218
B00387,2016-03-26,Sevilla,125.69,,,,,471,233755
T00072,2016-03-26,Sevilla,492.67,,,,,1332,212299
T00150,2016-03-26,Madrid,141.63,,,,,386,198865
B00325,2016-03-26,A Coruña,161.73,,,,,366,169590
T00163,2016-03-27,Sevilla,413.33,,,,,1299,149849
T00029,2016-03-27,Zaragoza,254.99,,,,,774,169158
T00264,2016-03-28,A Coruña,245.19,,,,,1287,261466
T00058,2016-03-28,Sevilla,463.21,,,,,1587,233956
T00296,2016-03-28,Barcelona,381.76,,,,,1527,249100
T00131,2016-03-28,Zaragoza,129.36,,,,,308,185916
T00176,2016-03-29,Zaragoza,648.46,,,,,2407,230647
T00136,2016-03-29,Sevilla,331.97,,,,,1533,240013
T00269,2016-03-29,Barcelona,111.17,,,,,428,275316
T00068,2016-03-30,A Coruña,102.93,,,,,343,198640
B00400,2016-03-30,Sevilla,141.45,,,,,346,140312
T00293,2016-03-30,Sevilla,692.95,,,,,1722,224623
T00041,2016-03-30,Madrid,461.78,,,,,1648,186455
T00090,2016-03-30,A Coruña,217.07,,,,,633,291901
B00357,2016-03-31,Valencia,92.54,,,,,199,125067
T00030,2016-03-31,Zaragoza,342.71,,,,,995,118661
B00377,2016-03-31,A Coruña,265.34,,,,,675,263266
T00129,2016-03-31,Zaragoza,313.77,,,,,958,211176
B00414,2016-04-01,Sevilla,187.79,,,,,723,240636
T00269,2016-04-01,Valencia,119.92,,,,,462,279712
T00288,2016-04-01,Madrid,773.45,,,,,2314,171745
T00165,2016-04-01,Madrid,393.07,,,,,1199,252372
B00417,2016-04-02,Zaragoza,124.01,,,,,276,108480
T00155,2016-04-02,Madrid,789.76,,,,,3850,174475
B00366,2016-04-02,Madrid,109.76,,,,,266,109080
T00245,2016-04-02,A Coruña,417.9,,,,,1394,187745
T00211,2016-04-02,Valencia,228.93,,,,,1120,185556
T00211,2016-04-03,A Coruña,176.99,,,,,865,187208
T00230,2016-04-03,Valencia,718.52,,,,,2522,190650
T00071,2016-04-04,Barcelona,80.06,,,,,216,117012
B00418,2016-04-04,Barcelona,25.03,,,,,89,195659
T00195,2016-04-04,Valencia,180.57,,,,,633,167873
T00159,2016-04-05,Madrid,757.9,,,,,2749,187427
T00085,2016-04-05,Barcelona,328.58,,,,,1441,219058
B00390,2016-04-05,Barcelona,203.33,,,,,607,282920
T00288,2016-04-06,Sevilla,242.24,,,,,724,190265
T00279,2016-04-06,Sevilla,338.61,,,,,915,123192
B00324,2016-04-06,Barcelona,,195.23,,,,120,158931
T00072,2016-04-06,Sevilla,538.58,,,,,1457,221658
T00279,2016-04-07,Zaragoza,103.16,,,,,278,134185
T00266,2016-04-07,A Coruña,127.31,,,,,508,238991
T00055,2016-04-08,Valencia,314.52,,,,,1881,203977
T00291,2016-04-08,Zaragoza,342.99,,,,,1300,211932
T00216,2016-04-08,Barcelona,597.59,,,,,2090,248330
T00281,2016-04-08,Zaragoza,320.94,,,,,1064,255350
B00414,2016-04-08,Madrid,46.16,,,,,177,243816
B00334,2016-04-09,Sevilla,300.02,,,,,627,216638
B00413,2016-04-09,Madrid,330.4,,,,,740,208485
T00114,2016-04-09,Madrid,709.62,,,,,2345,193632
T00210,2016-04-09,Zaragoza,225.2,,,,,969,218531
T00053,2016-04-10,Valencia,110.52,,,,,384,229627
T00040,2016-04-10,Madrid,378.28,,,,,1193,164790
T00211,2016-04-10,Sevilla,458.8,,,,,2244,198118
T00219,2016-04-10,Zaragoza,703.72,,,,,2242,196419
B00405,2016-04-11,Madrid,164.27,,,,,310,206700
T00269,2016-04-11,Barcelona,274.1,,,,,1056,280768
B00311,2016-04-11,Madrid,,151.65,,,,109,236765
T00124,2016-04-11,A Coruña,30.42,,,,,118,249755
T00242,2016-04-11,A Coruña,785.39,,,,,2481,147193
B00315,2016-04-11,A Coruña,,108.58,,,,75,267628
B00409,2016-04-11,A Coruña,218.37,,,,,586,262695
T00004,2016-04-11,Valencia,311.77,,,,,889,262381
T00184,2016-04-12,Madrid,257.63,,,,,757,202075
B00344,2016-04-12,Zaragoza,309.14,,,,,1001,308513
T00031,2016-04-12,Valencia,281.54,,,,,972,131653
T00299,2016-04-12,A Coruña,426.11,,,,,1753,232089
T00253,2016-04-13,Valencia,370.08,,,,,1427,304959
T00158,2016-04-13,A Coruña,229.19,,,,,755,140870
T00029,2016-04-14,Barcelona,105.79,,,,,321,167333
T00094,2016-04-14,Zaragoza,363.06,,,,,1438,163484
B00343,2016-04-14,A Coruña,176.93,,,,,421,114016
T00221,2016-04-15,Valencia,119.96,,,,,407,141154
T00219,2016-04-15,Zaragoza,370.51,,,,,1180,211430
T00248,2016-04-16,Valencia,45.59,,,,,153,137309
B00414,2016-04-16,Zaragoza,147.11,,,,,566,244382
T00001,2016-04-17,Barcelona,104.43,,,,,427,272937
B00377,2016-04-17,Barcelona,103.79,,,,,264,269676
T00074,2016-04-17,A Coruña,69.61,,,,,201,328507
T00281,2016-04-18,A Coruña,378.45,,,,,1255,229705
T00097,2016-04-18,Barcelona,184.72,,,,,719,228732
T00143,2016-04-19,Madrid,472.83,,,,,1794,122974
T00042,2016-04-19,Barcelona,100.48,,,,,338,181720
B00301,2016-04-19,A Coruña,,236.68,,,,161,246807
T00283,2016-04-19,Sevilla,294.12,,,,,1061,259767
T00227,2016-04-20,Barcelona,878.21,,,,,3791,269370
T00145,2016-04-20,Zaragoza,117.47,,,,,407,233286
T00049,2016-04-21,Sevilla,184.57,,,,,567,295636
T00065,2016-04-21,Madrid,356.16,,,,,1099,188585
B00366,2016-04-21,Valencia,150.11,,,,,363,105680
T00189,2016-04-21,Zaragoza,620.85,,,,,1735,299366
T00022,2016-04-22,A Coruña,368.37,,,,,1024,110714
T00122,2016-04-23,A Coruña,369.41,,,,,1196,291312
B00405,2016-04-23,A Coruña,218.11,,,,,411,207493
B00377,2016-04-23,A Coruña,375.6,,,,,955,259386
T00216,2016-04-23,Barcelona,265.06,,,,,927,229837
T00024,2016-04-24,Sevilla,781.73,,,,,2271,124840
T00184,2016-04-24,Barcelona,284.43,,,,,836,195191
T00244,2016-04-24,Madrid,163.04,,,,,479,314877
B00365,2016-04-24,Barcelona,171.44,,,,,438,249999
T00138,2016-04-24,Barcelona,66.82,,,,,174,116645
T00158,2016-04-25,A Coruña,326.2,,,,,1074,158044
T00194,2016-04-25,Valencia,715.84,,,,,1891,223588
T00292,2016-04-25,Barcelona,488.89,,,,,1788,196845
T00257,2016-04-25,A Coruña,227.73,,,,,772,109029
T00248,2016-04-26,Barcelona,52.71,,,,,177,129432
T00149,2016-04-26,Barcelona,414.82,,,,,1099,271929
T00162,2016-04-26,Sevilla,719.67,,,,,2550,215664
T00169,2016-04-26,Barcelona,362.17,,,,,959,132208
T00278,2016-04-27,A Coruña,147.27,,,,,388,270741
B00388,2016-04-27,Valencia,462.82,,,,,855,278366
T00143,2016-04-27,Barcelona,465.26,,,,,1765,139486
T00282,2016-04-28,Madrid,208.2,,,,,679,152323
T00271,2016-04-28,Valencia,256.16,,,,,1037,307938
T00269,2016-04-28,Zaragoza,444.89,,,,,1714,285470
B00351,2016-04-28,Valencia,231.05,,,,,493,218596
B00347,2016-04-28,Barcelona,134.08,,,,,222,260056
B00308,2016-04-28,Barcelona,,209.57,,,,138,201786
B00375,2016-04-29,Zaragoza,132.99,,,,,358,219823
T00173,2016-04-29,Valencia,383.06,,,,,1330,137519
B00338,2016-04-30,Sevilla,239.62,,,,,513,138863
T00201,2016-04-30,Barcelona,436.64,,,,,1438,184794
T00232,2016-05-01,Valencia,898.98,,,,,2380,256171
T00033,2016-05-02,A Coruña,923.5,,,,,4111,224546
T00053,2016-05-02,Barcelona,73.6,,,,,256,223339
B00396,2016-05-03,Sevilla,102.18,,,,,257,231865
T00128,2016-05-03,Sevilla,399.18,,,,,1409,249117
B00411,2016-05-03,Sevilla,57.21,,,,,205,102513
B00395,2016-05-04,A Coruña,266.39,,,,,557,288137
T00227,2016-05-04,Madrid,900.09,,,,,3886,254658
B00307,2016-05-04,Zaragoza,,112.97,,,,73,259019
B00415,2016-05-04,Barcelona,159.3,,,,,390,157044
T00080,2016-05-04,Barcelona,43.05,,,,,147,295184
T00016,2016-05-05,A Coruña,254.18,,,,,731,298169
T00006,2016-05-05,Madrid,177.82,,,,,649,104422
B00331,2016-05-06,Madrid,183.95,,,,,365,232133
T00186,2016-05-06,Barcelona,331.02,,,,,899,236367
T00167,2016-05-07,Zaragoza,911.4,,,,,4327,145748
T00125,2016-05-08,A Coruña,550.9,,,,,2615,155070
T00116,2016-05-08,Madrid,336.65,,,,,912,135724
T00210,2016-05-08,Barcelona,318.14,,,,,1370,207891
B00410,2016-05-08,A Coruña,174.64,,,,,419,218736
T00284,2016-05-08,Zaragoza,378.59,,,,,1408,170229
T00039,2016-05-08,Zaragoza,633.17,,,,,1689,154517
T00161,2016-05-09,Sevilla,229.85,,,,,854,274551
T00210,2016-05-09,A Coruña,439.19,,,,,1891,215476
T00278,2016-05-10,Barcelona,51.48,,,,,135,266786
B00370,2016-05-11,Zaragoza,61.41,,,,,327,220543
T00078,2016-05-11,Barcelona,335.62,,,,,1404,252108
B00418,2016-05-11,Madrid,200.0,,,,,718,187908
B00412,2016-05-11,Madrid,248.79,,,,,740,215722
T00130,2016-05-11,A Coruña,248.04,,,,,1048,166924
T00280,2016-05-11,A Coruña,120.12,,,,,512,230436
T00050,2016-05-12,Sevilla,215.77,,,,,602,156441
B00381,2016-05-12,Valencia,120.21,,,,,323,167349
B00410,2016-05-13,Zaragoza,331.75,,,,,797,213476
T00113,2016-05-13,Valencia,517.31,,,,,1465,169173
T00070,2016-05-14,Madrid,697.42,,,,,2059,199252
T00252,2016-05-14,A Coruña,336.97,,,,,1186,145417
